commentary,Player,Team
Attempt missed. Jason Puncheon (Crystal Palace) right footed shot from outside the box is too high following a corner.,,
"Corner,  Crystal Palace. Conceded by Tommy Smith.",,
"Attempt missed. Christian Benteke (Crystal Palace) header from the centre of the box is close, but misses to the left. Assisted by Patrick van Aanholt with a cross following a corner.",,
"Corner,  Crystal Palace. Conceded by Tommy Smith.",,
Attempt saved. Wilfried Zaha (Crystal Palace) right footed shot from the left side of the box is saved in the centre of the goal.,,
Foul by Christian Benteke (Crystal Palace).,,
Christopher Schindler (Huddersfield Town) wins a free kick in the defensive half.,,
"Corner,  Crystal Palace. Conceded by Tommy Smith.",,
Wilfried Zaha (Crystal Palace) wins a free kick on the left wing.,,
Foul by Tommy Smith (Huddersfield Town).,,
"Attempt missed. Wilfried Zaha (Crystal Palace) right footed shot from the right side of the box is close, but misses to the left.",,
"Corner,  Crystal Palace. Conceded by Philip Billing.",,
"Attempt missed. Zanka (Huddersfield Town) header from the centre of the box is close, but misses to the left. Assisted by Aaron Mooy with a cross following a corner.",,
"Corner,  Huddersfield Town. Conceded by Scott Dann.",,
"Corner,  Huddersfield Town. Conceded by Scott Dann.",,
"Offside, Huddersfield Town. Aaron Mooy tries a through ball, but Steve Mounie is caught offside.",,
Tommy Smith (Huddersfield Town) is shown the yellow card for a bad foul.,,
Patrick van Aanholt (Crystal Palace) wins a free kick in the defensive half.,,
Foul by Tommy Smith (Huddersfield Town).,,
Attempt blocked. Ruben Loftus-Cheek (Crystal Palace) right footed shot from the left side of the box is blocked.,,
Wilfried Zaha (Crystal Palace) wins a free kick on the left wing.,,
Foul by Tommy Smith (Huddersfield Town).,,
"Goal!  Crystal Palace 0, Huddersfield Town 2. Steve Mounie (Huddersfield Town) header from the centre of the box to the top left corner. Assisted by Aaron Mooy with a cross.",,
Foul by Patrick van Aanholt (Crystal Palace).,,
Elias Kachunga (Huddersfield Town) wins a free kick in the defensive half.,,
"Own Goal by Joel Ward, Crystal Palace.  Crystal Palace 0, Huddersfield Town 1.",,
"Corner,  Huddersfield Town. Conceded by Joel Ward.",,
Tommy Smith (Huddersfield Town) wins a free kick on the right wing.,,
Foul by Patrick van Aanholt (Crystal Palace).,,
Attempt saved. Philip Billing (Huddersfield Town) left footed shot from outside the box is saved in the bottom left corner.,,
Attempt saved. Kasey Palmer (Huddersfield Town) left footed shot from outside the box is saved in the top centre of the goal. Assisted by Tommy Smith.,,
Luka Milivojevic (Crystal Palace) wins a free kick in the defensive half.,,
Foul by Christopher Schindler (Huddersfield Town).,,
"Corner,  Huddersfield Town. Conceded by Scott Dann.",,
Foul by Patrick van Aanholt (Crystal Palace).,,
Elias Kachunga (Huddersfield Town) wins a free kick on the right wing.,,
Ruben Loftus-Cheek (Crystal Palace) wins a free kick in the attacking half.,,
Foul by Christopher Schindler (Huddersfield Town).,,
Wilfried Zaha (Crystal Palace) wins a free kick in the defensive half.,,
Foul by Zanka (Huddersfield Town).,,
Luka Milivojevic (Crystal Palace) wins a free kick on the right wing.,,
Foul by Tom Ince (Huddersfield Town).,,
"Corner,  Crystal Palace. Conceded by Christopher Schindler.",,
Wilfried Zaha (Crystal Palace) wins a free kick in the defensive half.,,
Foul by Tommy Smith (Huddersfield Town).,,
"Corner,  Huddersfield Town. Conceded by Timothy Fosu-Mensah.",,
Patrick van Aanholt (Crystal Palace) wins a free kick in the defensive half.,,
Foul by Tommy Smith (Huddersfield Town).,,
Attempt saved. Tom Ince (Huddersfield Town) left footed shot from the centre of the box is saved in the centre of the goal.,,
Foul by Christopher Schindler (Huddersfield Town).,,
Christian Benteke (Crystal Palace) wins a free kick in the attacking half.,,
"Match ends, Everton 1, Stoke City 0.",,
"Second Half ends, Everton 1, Stoke City 0.",,
Idrissa Gueye (Everton) wins a free kick in the defensive half.,,
Foul by Darren Fletcher (Stoke City).,,
"Corner,  Stoke City. Conceded by Jordan Pickford.",,
Attempt saved. Xherdan Shaqiri (Stoke City) left footed shot from outside the box is saved in the top right corner. Assisted by Eric Maxim Choupo-Moting.,,
Wayne Rooney (Everton) wins a free kick in the attacking half.,,
Foul by Erik Pieters (Stoke City).,,
"Corner,  Stoke City. Conceded by Michael Keane.",,
Wayne Rooney (Everton) wins a free kick in the defensive half.,,
Foul by Joe Allen (Stoke City).,,
"Corner,  Stoke City. Conceded by Michael Keane.",,
Attempt blocked. Peter Crouch (Stoke City) left footed shot from the centre of the box is blocked. Assisted by Mame Biram Diouf.,,
Cuco Martina (Everton) is shown the yellow card for a bad foul.,,
Foul by Cuco Martina (Everton).,,
Eric Maxim Choupo-Moting (Stoke City) wins a free kick in the defensive half.,,
"Offside, Stoke City. Jack Butland tries a through ball, but Peter Crouch is caught offside.",,
"Corner,  Everton. Conceded by Ryan Shawcross.",,
Phil Jagielka (Everton) wins a free kick in the defensive half.,,
Foul by Eric Maxim Choupo-Moting (Stoke City).,,
"Offside, Stoke City. Kurt Zouma tries a through ball, but Peter Crouch is caught offside.",,
"Substitution, Everton. Kevin Mirallas replaces Sandro Ramírez.",,
"Corner,  Everton. Conceded by Ryan Shawcross.",,
"Offside, Stoke City. Mame Biram Diouf tries a through ball, but Peter Crouch is caught offside.",,
Attempt missed. Mame Biram Diouf (Stoke City) right footed shot from the centre of the box misses to the right. Assisted by Peter Crouch with a headed pass.,,
Attempt blocked. Sandro Ramírez (Everton) right footed shot from outside the box is blocked. Assisted by Dominic Calvert-Lewin.,,
"Substitution, Stoke City. Eric Maxim Choupo-Moting replaces Bojan.",,
"Substitution, Stoke City. Peter Crouch replaces Saido Berahino.",,
Delay over. They are ready to continue.,,
Delay in match Michael Keane (Everton) because of an injury.,,
"Corner,  Everton. Conceded by Jack Butland.",,
Attempt saved. Dominic Calvert-Lewin (Everton) right footed shot from the left side of the box is saved in the bottom left corner.,,
Joe Allen (Stoke City) wins a free kick on the right wing.,,
Foul by Morgan Schneiderlin (Everton).,,
Joe Allen (Stoke City) wins a free kick in the defensive half.,,
Foul by Tom Davies (Everton).,,
Attempt missed. Dominic Calvert-Lewin (Everton) header from the centre of the box is high and wide to the right. Assisted by Cuco Martina with a cross.,,
"Substitution, Everton. Tom Davies replaces Davy Klaassen.",,
Joe Allen (Stoke City) wins a free kick in the attacking half.,,
Foul by Davy Klaassen (Everton).,,
"Attempt missed. Darren Fletcher (Stoke City) right footed shot from outside the box is close, but misses to the left. Assisted by Joe Allen.",,
Saido Berahino (Stoke City) wins a free kick in the attacking half.,,
Foul by Morgan Schneiderlin (Everton).,,
Attempt saved. Davy Klaassen (Everton) right footed shot from the left side of the box is saved in the top centre of the goal. Assisted by Leighton Baines.,,
Foul by Erik Pieters (Stoke City).,,
Cuco Martina (Everton) wins a free kick on the right wing.,,
Attempt blocked. Dominic Calvert-Lewin (Everton) right footed shot from the right side of the box is blocked. Assisted by Wayne Rooney with a through ball.,,
Foul by Davy Klaassen (Everton).,,
Erik Pieters (Stoke City) wins a free kick in the defensive half.,,
"Corner,  Everton. Conceded by Kurt Zouma.",,
Foul by Bojan (Stoke City).,,
Cuco Martina (Everton) wins a free kick on the right wing.,,
Mame Biram Diouf (Stoke City) wins a free kick on the right wing.,,
Foul by Sandro Ramírez (Everton).,,
Attempt missed. Saido Berahino (Stoke City) right footed shot from the left side of the box misses to the right. Assisted by Bojan.,,
"Substitution, Everton. Cuco Martina replaces Ashley Williams.",,
"Second Half begins Everton 1, Stoke City 0.",,
"First Half ends, Everton 1, Stoke City 0.",,
"Offside, Stoke City. Kurt Zouma tries a through ball, but Erik Pieters is caught offside.",,
"Goal!  Everton 1, Stoke City 0. Wayne Rooney (Everton) header from the centre of the box to the high centre of the goal. Assisted by Dominic Calvert-Lewin with a cross.",,
"Offside, Stoke City. Joe Allen tries a through ball, but Ryan Shawcross is caught offside.",,
"Corner,  Stoke City. Conceded by Idrissa Gueye.",,
Foul by Idrissa Gueye (Everton).,,
Bojan (Stoke City) wins a free kick on the left wing.,,
Ryan Shawcross (Stoke City) wins a free kick in the defensive half.,,
Foul by Ashley Williams (Everton).,,
"Corner,  Everton. Conceded by Erik Pieters.",,
Attempt missed. Bojan (Stoke City) left footed shot from the left side of the box is too high. Assisted by Saido Berahino.,,
Attempt missed. Mame Biram Diouf (Stoke City) right footed shot from outside the box misses to the left.,,
"Corner,  Stoke City. Conceded by Morgan Schneiderlin.",,
Idrissa Gueye (Everton) wins a free kick in the attacking half.,,
Foul by Joe Allen (Stoke City).,,
Joe Allen (Stoke City) is shown the yellow card for a bad foul.,,
Wayne Rooney (Everton) wins a free kick on the right wing.,,
Foul by Joe Allen (Stoke City).,,
Idrissa Gueye (Everton) wins a free kick in the defensive half.,,
Foul by Darren Fletcher (Stoke City).,,
Attempt missed. Idrissa Gueye (Everton) right footed shot from outside the box misses to the left following a corner.,,
"Corner,  Everton. Conceded by Ryan Shawcross.",,
"Offside, Everton. Idrissa Gueye tries a through ball, but Dominic Calvert-Lewin is caught offside.",,
Attempt saved. Idrissa Gueye (Everton) right footed shot from outside the box is saved in the centre of the goal. Assisted by Davy Klaassen.,,
Foul by Wayne Rooney (Everton).,,
Bojan (Stoke City) wins a free kick in the attacking half.,,
Morgan Schneiderlin (Everton) wins a free kick in the defensive half.,,
Foul by Xherdan Shaqiri (Stoke City).,,
"Offside, Everton. Ashley Williams tries a through ball, but Davy Klaassen is caught offside.",,
Attempt missed. Joe Allen (Stoke City) right footed shot from outside the box misses to the left following a set piece situation.,,
Attempt blocked. Joe Allen (Stoke City) right footed shot from outside the box is blocked.,,
Foul by Dominic Calvert-Lewin (Everton).,,
Bojan (Stoke City) wins a free kick on the left wing.,,
Saido Berahino (Stoke City) wins a free kick on the left wing.,,
Foul by Ashley Williams (Everton).,,
Attempt missed. Sandro Ramírez (Everton) right footed shot from outside the box misses to the left. Assisted by Wayne Rooney.,,
"Corner,  Stoke City. Conceded by Wayne Rooney.",,
"Corner,  Stoke City. Conceded by Jordan Pickford.",,
"Offside, Stoke City. Geoff Cameron tries a through ball, but Erik Pieters is caught offside.",,
Foul by Wayne Rooney (Everton).,,
Darren Fletcher (Stoke City) wins a free kick on the left wing.,,
"Match ends, Manchester United 4, West Ham United 0.",,
"Match ends, Manchester United 4, West Ham United 0.",,
"Second Half ends, Manchester United 4, West Ham United 0.",,
"Attempt missed. Chicharito (West Ham United) right footed shot from outside the box is close, but misses the top right corner. Assisted by Pedro Obiang.",,
"Goal!  Manchester United 4, West Ham United 0. Paul Pogba (Manchester United) right footed shot from outside the box to the centre of the goal. Assisted by Anthony Martial.",,
Attempt blocked. Aaron Cresswell (West Ham United) left footed shot from the left side of the box is blocked.,,
Foul by Marouane Fellaini (Manchester United).,,
Chicharito (West Ham United) wins a free kick in the attacking half.,,
"Substitution, Manchester United. Jesse Lingard replaces Henrikh Mkhitaryan.",,
"Goal!  Manchester United 3, West Ham United 0. Anthony Martial (Manchester United) right footed shot from the centre of the box to the bottom right corner. Assisted by Henrikh Mkhitaryan with a through ball.",,
Attempt blocked. Paul Pogba (Manchester United) right footed shot from the centre of the box is blocked. Assisted by Romelu Lukaku.,,
"Substitution, West Ham United. Aaron Cresswell replaces Arthur Masuaku.",,
"Substitution, Manchester United. Anthony Martial replaces Marcus Rashford.",,
Phil Jones (Manchester United) wins a free kick in the defensive half.,,
Foul by Marko Arnautovic (West Ham United).,,
Attempt missed. Marko Arnautovic (West Ham United) right footed shot from the right side of the box is too high.,,
Foul by Daley Blind (Manchester United).,,
André Ayew (West Ham United) wins a free kick in the defensive half.,,
"Substitution, Manchester United. Marouane Fellaini replaces Juan Mata.",,
Attempt missed. Romelu Lukaku (Manchester United) left footed shot from outside the box is too high. Assisted by Henrikh Mkhitaryan.,,
"Corner,  Manchester United. Conceded by Winston Reid.",,
Marko Arnautovic (West Ham United) wins a free kick in the defensive half.,,
Foul by Juan Mata (Manchester United).,,
"Offside, West Ham United. Pedro Obiang tries a through ball, but André Ayew is caught offside.",,
Attempt missed. Daley Blind (Manchester United) left footed shot from the left side of the box is just a bit too high. Assisted by Antonio Valencia with a cross.,,
Phil Jones (Manchester United) wins a free kick in the defensive half.,,
Foul by Chicharito (West Ham United).,,
Pablo Zabaleta (West Ham United) wins a free kick in the defensive half.,,
Foul by Paul Pogba (Manchester United).,,
Foul by Eric Bailly (Manchester United).,,
Diafra Sakho (West Ham United) wins a free kick on the left wing.,,
Winston Reid (West Ham United) wins a free kick in the defensive half.,,
Foul by Marcus Rashford (Manchester United).,,
Angelo Ogbonna (West Ham United) is shown the yellow card for a bad foul.,,
Marcus Rashford (Manchester United) hits the right post with a right footed shot from the left side of the box. Assisted by Romelu Lukaku.,,
"Offside, West Ham United. Diafra Sakho tries a through ball, but Marko Arnautovic is caught offside.",,
Attempt saved. Henrikh Mkhitaryan (Manchester United) right footed shot from outside the box is saved in the centre of the goal. Assisted by Romelu Lukaku with a headed pass.,,
Attempt missed. Marcus Rashford (Manchester United) right footed shot from the left side of the box is high and wide to the right. Assisted by Paul Pogba.,,
"Corner,  Manchester United. Conceded by Pablo Zabaleta.",,
Attempt blocked. Paul Pogba (Manchester United) right footed shot from the right side of the box is blocked.,,
Attempt blocked. Romelu Lukaku (Manchester United) right footed shot from the centre of the box is blocked. Assisted by Henrikh Mkhitaryan.,,
